rct,randomized controlled trial
rin,recipient identification number
rhmpv,recombinant Human metapneumovirus
rbcs,red blood cell
rtlc,Regional Tuberculosis and Leprosy Coordinator
rei,reproductive endocrinology and infertility
rr,respiratory rate
rsv,respiratory syncytial virus
rtpcr,Reverse Transcription Polymerase Chain Reaction
rna,ribonucleic acid
rnai,ribonucleic acid interference
rfvf,Rift Valley fever virus
rtx,rituximab
rtis,road traffic injuries
spd,Sensory Processing Disorder
sars,Severe acute respiratory syndrome
scid,Severe combined immunodeficiency
ss,severity score
shrna,short hairpin ribonucleic acid
sirna,short interfering ribonucleic acid
snp,Single nucleotide polymorphisms
snps,single nucleotide polymorphisms
snornas,Small nucleolar ribonucleic acids
sd,standard deviation
shd,structural heart disease
seir,Susceptible Exposed Infectious Removed
svluc,SV40 virus expressing firefly luciferase
tcr,T cell receptor
tcr,Temperature Control Regulations
trna,Transfer ribonucleic acid
tga,Transient global amnesia
trs,Treatment Resistant Schizophrenia
tnbs,trinitrobenzene sulfonic acid
tnf,Tumor Necrosis Factor
usp,U.S.Pharmacopeia
ubl,ubiquitin like
ubp,ubiquitin specific proteases
ucc,ultra cold chain
utr,untranslated regions
vap,Ventilator associated Pneumonia
vsv,vesicular stomatitis virus
vsvg,vesicular stomatitis virus glycoprotein
vff,Victorian Farmers Federation
vpg,viral protein genome linked
wnv,West Nile Virus
zikv,Zika virus
dap,Dose Area Product
hca,Hospital Corporation of America
hpev,human parechovirus
hiras,Hazard Identification and Risk Assessments
dsdna,Double-Stranded Deoxyribonucleic Acid
hpiv,Human Parainfluenza Viruses
icds,Implantable cardioverter-defibrillators
icd,Implantable cardioverter-defibrillator
ptprg,Phosphatase Receptor Type G
pedv,Porcine epidemic diarrhea
hrct,high-resolution CT
ild,interstitial lung disease
udca,ursodeoxycholic acid
ldr,low dose rate
cas,COVID 19 anxiety scale
hsct,hematopoietic stem cell transplantation
hscts,hematopoietic stem cell transplantations
igm,immunoglobulin M
ibv,Infectious bronchitis virus
fiv,Feline Immunodeficiency Virus
mers,Middle East respiratory syndrome
mpp,Manual of Policies and Procedures
ifns,interferons
ifn,interferon
csa,cyclosporine
ies,Impact of Event Scale
eto,Ethylene Oxide
ffr,Filtering Facepiece Respirator
ffrs,Filtering Facepiece Respirators
uvgi,Ultraviolet Germicidal Irradiation
vhp,vaporized hydrogen peroxide
prrs,pattern recognition receptors
prr,pattern recognition receptor
felv,feline leukemia virus
FIV,feline immunodeficiency virus
ipd,Individual Participant Data
bmdms,bone marrow derived macrophages
pfo,Patent Foramen Ovale
mhc,major histocompatibility complex
bcg,Bacille Calmette-Guerin
rlr,retinoic acid-inducible gene-1-like receptor 
tlr,toll-like receptor
hhd,home hemodialysis
mdck,Madin-Darby Canine Kidney
nais,Neuraminidase inhibitors
mcd,Minimal Change Disease
cpk,Creatine phosphokinase
mrsa,Methicillin-resistant Staphylococcus aureus
mrmr,Minimum redundancy and maximum relevance
atp,adenosine triphosphate
atpase,adenosine triphosphate
datps,damage-associated transient progenitors
dsrna,double-stranded ribonucleic acid
gbnv,Groundnut bud necrosis orthotospovirus
bac,bacterial artificial chromosome
